year,chron,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct
1872,1.017,,,,,,
1873,1.042,,,,,,
1874,1.016,,,,,,
1875,0.948,,,,,,
1876,0.982,,,,,,
1877,0.991,,,,,,
1878,0.992,,,,,,
1879,0.985,,,,,,
1880,0.988,,,,,,
1881,1.046,,,,,,
1882,1.026,,,,,,
1883,1.009,,,,,,
1884,1.005,,,,,,
1885,0.998,,,,,,
1886,0.985,,,,,,
1887,1.004,,,,,,
1888,1.014,,,,,,
1889,1.022,,,,,,
1890,1.008,,,,,,
1891,0.989,,,,,,
1892,0.99,,,,,,
1893,0.995,,,,,,
1894,1.038,,,,,,
1895,1.005,9.934000015,2.845000029,-3.951999903,17.02300072,17.81800079,-1.44
1896,0.969,10.77600098,4.796000004,-3.335000038,16.75699997,28.70800018,-2.29
1897,1.039,12.91200066,6.623000145,0.681999981,19.20299911,11.57299995,-2.84
1898,1.011,10.81000042,3.194000006,-2.792999983,18.4260006,15.5010004,-1.96
1899,0.917,8.347000122,0.49000001,-4.080999851,16.20400047,39.8409996,-2.53
1900,1.026,9.383000374,1.279999971,-2.786999941,17.48699951,21.51099968,-4.86
1901,0.987,11.49800014,5.058000088,-0.400999993,17.93899918,25.46899986,-2.18
1902,1.001,8.541000366,0.656000018,-2.316999912,16.42700005,8.798000336,-3.36
1903,0.989,9.30700016,1.712000012,-5.34800005,16.90200043,15.17199993,-1.57
1904,0.984,9.262000084,1.705000043,-4.486000061,16.81900024,40.20999908,-1.98
1905,0.964,10.36300087,3.374000072,-5.137000084,17.35300064,29.70599937,-0.8
1906,0.943,8.511000633,0.683000028,-2.289999962,16.34000015,67.40399933,0.87
1907,0.914,8.80300045,0.279000014,-6.438000202,17.32799911,66.92900085,2.29
1908,0.977,7.847000599,0.280999988,-3.381999969,15.41499996,47.05400085,2.6
1909,0.995,10.71200085,2.282999992,-4.197000027,19.14299965,34.71500015,1.21
1910,1.026,7.605000496,-1.574000001,-4.909999847,16.7859993,18.61899948,-1.68
1911,0.988,7.099000454,-0.97299999,-4.752999783,15.17199993,22.70499992,0.71
1912,1,7.65500021,0.105999999,-5.087999821,15.20499992,49.39500046,3.25
1913,0.997,9.527000427,0.68900001,-4.643000126,18.36599922,20.56800079,1.75
1914,1.03,9.528000832,0.418000013,-5.331999779,18.63899994,9.414999962,-0.73
1915,0.98,9.736000061,1.493999958,-5.453000069,17.97900009,64.94999695,3.94
1916,1.027,9.028000832,0.034000002,-4.497000217,18.02300072,37.43799973,2.39
1917,1.005,9.005000114,1.299999952,-5.191999912,16.71100044,16.19300079,-1.42
1918,0.979,8.68900013,1.350000024,-5.639999866,16.02899933,39.68299866,1.24
1919,1.046,11.0710001,3.430000067,-4.163000107,18.71299934,11.46899986,-4.13
1920,1.008,9.625,2.536000013,-4.485000134,16.7140007,48.04100037,-1.15
1921,1.004,9.539000511,1.531000018,-4.118000031,17.54899979,32.75899887,-2.39
1922,0.967,12.37800026,4.170000076,-0.768000007,20.58699989,51.44900131,-1
