year,chron,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct,tmean.mjja,ppt.jja,pdsi.aso,tmin.mjja,tmax.mjja
1758,1.313,,,,,,,,,,,
1759,1.372,,,,,,,,,,,
1760,1.321,,,,,,,,,,,
1761,1.371,,,,,,,,,,,
1762,1.381,,,,,,,,,,,
1763,1.321,,,,,,,,,,,
1764,1.328,,,,,,,,,,,
1765,1.333,,,,,,,,,,,
1766,1.327,,,,,,,,,,,
1767,1.329,,,,,,,,,,,
1768,1.342,,,,,,,,,,,
1769,1.293,,,,,,,,,,,
1770,1.325,,,,,,,,,,,
1771,1.311,,,,,,,,,,,
1772,1.358,,,,,,,,,,,
1773,1.363,,,,,,,,,,,
1774,1.397,,,,,,,,,,,
1775,1.277,,,,,,,,,,,
1776,1.355,,,,,,,,,,,
1777,1.298,,,,,,,,,,,
1778,1.361,,,,,,,,,,,
1779,1.233,,,,,,,,,,,
1780,1.359,,,,,,,,,,,
1781,1.311,,,,,,,,,,,
1782,1.286,,,,,,,,,,,
1783,1.367,,,,,,,,,,,
1784,1.36,,,,,,,,,,,
1785,1.331,,,,,,,,,,,
1786,1.37,,,,,,,,,,,
1787,1.181,,,,,,,,,,,
1788,1.346,,,,,,,,,,,
1789,1.25,,,,,,,,,,,
1790,1.335,,,,,,,,,,,
1791,1.277,,,,,,,,,,,
1792,1.293,,,,,,,,,,,
1793,1.311,,,,,,,,,,,
1794,1.349,,,,,,,,,,,
1795,1.305,,,,,,,,,,,
1796,1.257,,,,,,,,,,,
1797,1.203,,,,,,,,,,,
1798,1.267,,,,,,,,,,,
1799,1.263,,,,,,,,,,,
1800,1.336,,,,,,,,,,,
1801,1.236,,,,,,,,,,,
1802,1.354,,,,,,,,,,,
1803,1.259,,,,,,,,,,,
1804,1.341,,,,,,,,,,,
1805,1.281,,,,,,,,,,,
1806,1.233,,,,,,,,,,,
1807,1.269,,,,,,,,,,,
1808,1.309,,,,,,,,,,,
1809,1.209,,,,,,,,,,,
1810,1.234,,,,,,,,,,,
1811,1.255,,,,,,,,,,,
1812,1.302,,,,,,,,,,,
1813,1.219,,,,,,,,,,,
1814,1.292,,,,,,,,,,,
1815,1.248,,,,,,,,,,,
1816,1.283,,,,,,,,,,,
1817,1.248,,,,,,,,,,,
1818,1.254,,,,,,,,,,,
1819,1.299,,,,,,,,,,,
1820,1.27,,,,,,,,,,,
1821,1.329,,,,,,,,,,,
1822,1.264,,,,,,,,,,,
1823,1.342,,,,,,,,,,,
1824,1.274,,,,,,,,,,,
1825,1.292,,,,,,,,,,,
1826,1.278,,,,,,,,,,,
1827,1.344,,,,,,,,,,,
1828,1.23,,,,,,,,,,,
1829,1.293,,,,,,,,,,,
1830,1.287,,,,,,,,,,,
1831,1.284,,,,,,,,,,,
1832,1.262,,,,,,,,,,,
1833,1.272,,,,,,,,,,,
1834,1.236,,,,,,,,,,,
1835,1.163,,,,,,,,,,,
1836,1.321,,,,,,,,,,,
1837,1.217,,,,,,,,,,,
1838,1.171,,,,,,,,,,,
1839,1.255,,,,,,,,,,,
1840,1.276,,,,,,,,,,,
1841,1.273,,,,,,,,,,,
1842,1.295,,,,,,,,,,,
1843,1.274,,,,,,,,,,,
1844,1.173,,,,,,,,,,,
1845,1.238,,,,,,,,,,,
1846,1.285,,,,,,,,,,,
1847,1.272,,,,,,,,,,,
1848,1.18,,,,,,,,,,,
1849,1.241,,,,,,,,,,,
1850,1.304,,,,,,,,,,,
1851,1.28,,,,,,,,,,,
1852,1.303,,,,,,,,,,,
1853,1.302,,,,,,,,,,,
1854,1.316,,,,,,,,,,,
1855,1.294,,,,,,,,,,,
1856,1.306,,,,,,,,,,,
1857,1.282,,,,,,,,,,,
1858,1.246,,,,,,,,,,,
1859,1.281,,,,,,,,,,,
1860,1.251,,,,,,,,,,,
1861,1.309,,,,,,,,,,,
1862,1.25,,,,,,,,,,,
1863,1.35,,,,,,,,,,,
1864,1.305,,,,,,,,,,,
1865,1.282,,,,,,,,,,,
1866,1.24,,,,,,,,,,,
1867,1.296,,,,,,,,,,,
1868,1.283,,,,,,,,,,,
1869,1.276,,,,,,,,,,,
1870,1.333,,,,,,,,,,,
1871,1.352,,,,,,,,,,,
1872,1.297,,,,,,,,,,,
1873,1.316,,,,,,,,,,,
1874,1.307,,,,,,,,,,,
1875,1.199,,,,,,,,,,,
1876,1.28,,,,,,,,,,,
1877,1.275,,,,,,,,,,,
1878,1.294,,,,,,,,,,,
1879,1.269,,,,,,,,,,,
1880,1.262,,,,,,,,,,,
1881,1.294,,,,,,,,,,,
1882,1.305,,,,,,,,,,,
1883,1.219,,,,,,,,,,,
1884,1.232,,,,,,,,,,,
1885,1.245,,,,,,,,,,,
1886,1.228,,,,,,,,,,,
1887,1.238,,,,,,,,,,,
1888,1.259,,,,,,,,,,,
1889,1.274,,,,,,,,,,,
1890,1.289,,,,,,,,,,,
1891,1.254,,,,,,,,,,,
1892,1.211,,,,,,,,,,,
1893,1.236,,,,,,,,,,,
1894,1.276,,,,,,,,,,,
1895,1.247,9.772000313,2.207999945,-4.43200016,17.33699989,17.37800026,-1.81,6.540250361,120.2869988,-1.44,-0.55550009,13.63700008
1896,1.229,10.00600052,3.085999966,-4.78000021,16.92700005,24.89500046,-2.14,7.182500351,119.1539993,-2.283333333,0.53749989,13.8287499
1897,1.261,11.98800087,5.359000206,-0.791000009,18.61800003,9.902999878,-2.52,8.592500448,174.0950012,-2.486666667,1.840750039,15.34474993
1898,1.269,10.66400051,2.862999916,-3.604000092,18.4659996,15.47700024,-1.55,6.740250349,174.1349973,-1.456666667,0.169499993,13.31174982
