year,chron,stream.yel,swe.yel,tmax.lsum
1620,1.023,84.87629929,48.693,1.03
1621,0.944,206.4364754,43.469,-1.93
1622,1.008,135.4523161,48.809,1.14
1623,0.977,120.4443509,38.654,0.32
1624,0.95,158.4114012,64.066,-0.32
1625,1.024,163.6011814,54.903,0.58
1626,1.007,57.25144276,68.593,0.28
1627,0.959,63.21009391,84.474,0.21
1628,0.997,145.4743534,44.472,0.02
1629,0.976,84.68108922,61.335,-0.36
1630,1.008,68.04346724,66.669,0.58
1631,1.018,57.25144276,55.846,1.29
1632,1.036,32.86899577,70.925,1.25
1633,1.026,217.1633015,38.082,-0.09
1634,1.078,105.3868529,40.198,1.25
1635,1.008,68.99004616,56.969,1.18
1636,1.061,92.21178638,32.193,0.51
1637,0.986,70.59703077,72.094,-0.24
1638,1.025,88.671986,37.027,0.28
1639,1.023,65.58226859,51.246,0.95
1640,1.016,165.8771006,47.342,0.24
1641,0.941,148.1789236,86.368,-2.04
1642,0.958,122.6835786,57.801,-0.58
1643,0.976,97.90084392,50.767,-0.32
1644,0.936,83.32713224,54.149,-0.66
1645,0.961,55.691182,50.576,0.84
1646,0.94,44.64639893,55.786,0.77
1647,0.997,98.57946016,45.492,1.85
1648,0.958,75.64608137,61.46,-0.24
1649,1.027,75.64608137,41.636,1.4
1650,1.019,132.369045,58.583,1.33
1651,1.007,104.4206604,38.841,1.18
1652,1.056,62.3428189,42.849,1.59
1653,1.013,72.74220065,43.657,0.51
1654,1.015,123.8187558,62.496,0.62
1655,1.041,105.6297947,49.577,0.13
1656,0.99,79.02899071,48.22,0.58
1657,0.999,45.16337987,58.142,0.73
1658,1.031,74.78016783,53.684,0.88
1659,1.009,64.83155457,36.737,0.43
1660,0.944,89.08127729,52.253,-1.55
1661,0.963,94.79521928,41.913,0.69
1662,0.956,103.7018336,57.18,-0.92
1663,0.984,91.78811171,90.536,-1.1
1664,1.015,105.3868529,51.421,-0.43
1665,1.037,82.94427884,56.167,-1.18
1666,0.984,144.1406365,51.708,-0.43
1667,0.985,69.30848974,69.604,-0.13
1668,1.047,105.3868529,51.063,-0.32
1669,1.002,94.14265358,67.806,-1.89
1670,0.965,101.1082132,53.616,0.24
1671,1.012,70.43466211,59.613,-0.13
1672,0.993,126.1207183,70.574,-0.24
1673,0.995,120.7220038,53.241,-1.03
1674,1.009,138.6074059,63.365,-0.92
1675,1.037,121.2792313,41.175,0.69
1676,0.997,217.1633015,48.908,-1.14
1677,0.962,95.45230835,46.404,0.88
1678,1.001,71.90952757,52.728,-0.54
1679,0.969,97.00328359,55.847,0.51
1680,0.971,149.2060508,57.174,1.07
1681,0.964,74.43658417,69.544,0.8
1682,1,107.5935992,56.397,0.17
1683,1.001,138.926929,50.43,-0.13
1684,0.991,136.705641,44.226,0.73
1685,0.972,92.4243565,51.842,-0.54
1686,0.986,71.74414024,61.418,-0.28
1687,1.011,165.8771006,52.272,0.09
1688,1.021,119.6152178,63.225,-0.92
1689,1.026,95.89289619,31.669,0.99
1690,1.052,82.5631845,52.079,0.99
1691,0.997,132.0646046,59.364,0.51
1692,1.013,158.7765772,63.678,-0.73
1693,1.023,105.1444698,70.805,-0.06
1694,1.033,147.8381215,46.615,-0.36
1695,0.961,53.30726923,56.005,-0.88
1696,1.026,93.92613149,69.745,0.62
1697,1.035,96.11395214,60.215,-0.28
1698,0.974,90.73742188,61.643,-2.75
1699,0.998,135.4523161,67.037,-0.73
1700,0.972,171.7063813,61.069,-0.39
1701,1.026,132.6741871,43.273,-0.32
1702,0.931,139.8899244,65.172,-1.33
1703,1.01,64.38525729,67.464,-0.73
1704,0.979,63.06471472,63.64,-1.37
1705,0.975,124.6770264,53.201,-0.58
1706,1.028,79.94410329,56.374,-0.51
1707,1.033,83.32713224,67.139,-0.77
1708,1,57.78118383,76.208,-0.73
1709,0.958,106.1173596,52.004,-0.09
1710,1.015,70.43466211,56.349,0.65
1711,0.983,80.68381697,66.183,0.35
1712,0.995,73.2464255,36.959,0.09
1713,0.99,102.2789911,63.684,-0.13
1714,0.974,109.5939135,51.746,-0.92
1715,0.984,97.45103041,58.657,-0.54
1716,0.963,107.3461407,47.479,-0.51
1717,0.967,58.58500017,58.984,0.62
1718,1.007,65.73345134,53.327,0.99
1719,1.022,115.2886186,58.736,0.47
1720,1.042,139.5681865,47.972,0.69
1721,1.04,44.74931951,58.654,1.59
1722,1.029,84.29201495,57.78,1.14
1723,0.994,134.8299693,56.694,0.13
1724,1.068,101.3412917,42.233,1.48
1725,0.995,117.4319941,90.642,-2.64
1726,1.019,194.8885999,68.386,0.13
1727,0.907,173.6946475,89.688,-2.79
1728,1,140.859595,43.844,0.77
1729,1.031,51.37909326,33.161,1.33
1730,1.009,118.5185789,43.792,0.73
1731,1.017,105.3868529,49.772,0.39
1732,0.998,95.45230835,51.266,0.39
1733,0.944,175.3018242,46.781,-0.73
1734,0.964,116.0877611,57.072,-0.62
1735,0.971,56.20648616,59.066,-0.02
1736,0.939,83.7117528,63.911,-1.18
1737,0.995,104.1804995,43.284,-0.06
1738,0.964,77.58654907,48.502,-0.92
1739,1.015,88.87639604,45.34,0.8
1740,0.942,82.37329444,78.751,-0.43
1741,1.017,114.7589155,45.04,0.47
1742,1.012,93.92613149,75.558,1.22
1743,1.006,83.90472832,49.709,0.69
1744,0.992,56.20648616,58.262,0.92
1745,0.953,130.5528736,44.931,-0.13
1746,0.959,209.7907983,46.34,-0.99
1747,0.94,149.5500063,35.397,-0.58
1748,0.954,103.940891,43.734,0.06
1749,0.969,115.8207667,35.999,-0.02
1750,1.013,122.9663934,32.376,-1.33
1751,1.057,115.2886186,50.019,1.18
1752,0.971,100.4121892,71.112,-0.36
1753,1.076,85.26807048,62.525,0.28
1754,1.011,88.26457523,77.747,0.65
1755,0.968,81.24309047,33.939,-1.48
1756,1.073,41.28444357,23.218,1.59
1757,1.036,86.4542675,58.922,0.92
1758,0.998,91.99970516,46.792,-0.39
1759,1.071,69.9497933,29.753,0.65
1760,1.038,89.08127729,39.97,-0.2
1761,1.061,142.1629528,45.328,-0.07
1762,1.119,99.26278033,41.775,0.69
1763,1.034,91.99970516,54.584,-1.44
1764,0.98,122.6835786,45.918,-0.72
1765,0.996,75.82046359,45.214,0.36
1766,0.966,159.5094566,68.028,0.1
1767,0.949,185.2620373,62.626,-0.72
1768,1.021,150.9337754,39.134,-0.03
1769,0.992,110.6079735,64.63,-0.64
1770,1,74.78016783,50.235,0.53
1771,1.005,114.2316462,45.174,0.21
1772,1.037,86.65356517,56.532,0.39
1773,1.055,103.940891,33.479,1.31
1774,1.039,91.57700491,40.819,1.08
1775,0.975,163.2249091,86.926,-0.57
1776,1.014,126.1207183,23.231,1.29
1777,0.977,86.4542675,32.242,-0.34
1778,1.002,92.4243565,58.527,0.79
1779,0.894,110.6079735,76.294,-1.82
1780,0.979,101.8090618,37.874,-0.17
1781,0.94,82.37329444,86.553,-1.19
1782,0.895,53.92453832,46.72,-0.69
1783,0.936,68.04346724,50.854,0.15
1784,0.955,104.6613749,54.261,0.63
1785,1.004,92.63741665,62.416,-0.13
1786,1.018,105.6297947,43.977,0.61
1787,0.94,122.1198987,60.584,-2.51
1788,1.013,94.79521928,25.89,0.52
1789,0.975,145.1397717,65.644,-0.71
1790,0.997,127.2876989,60.209,0
1791,0.942,122.1198987,43.535,-0.73
1792,1.018,154.0942508,21.124,0.07
1793,1.009,69.6284032,59.316,0.4
1794,1.078,74.43658417,31.269,1.56
1795,1.094,50.09408352,45.213,1.33
1796,1.012,122.4014142,52.337,0.43
1797,0.987,104.6613749,63.89,-1
1798,1.042,64.23717531,40.519,0.38
1799,1.038,141.8359871,52.064,0.77
1800,1.032,40.62435096,41.202,1.14
1801,1.013,113.1843642,63.488,-0.55
1802,1.03,120.4443509,31.207,1.68
1803,1.004,106.6071751,61.883,-0.12
1804,1.046,77.9446723,47.416,0.31
1805,1.004,102.043756,53.754,0.15
1806,0.999,71.5791333,94.749,-0.13
1807,1.028,73.75414546,48.156,0.19
1808,1.104,74.60817822,49.391,0.89
1809,0.974,106.1173596,79.847,-1.21
1810,1.001,162.4749588,76.066,-1.69
1811,1.001,163.6011814,57.607,-0.76
1812,0.998,90.11278986,41.056,0.59
1813,0.953,98.35273369,58.175,-0.41
1814,0.981,63.7949697,43.111,0.27
1815,0.952,110.6079735,60.78,-0.75
1816,1.005,86.25542821,35.14,0.75
1817,0.998,96.33551769,44.69,0.64
1818,0.979,82.5631845,66.079,0.39
1819,0.985,105.6297947,58.632,-0.1
1820,0.929,138.6074059,47.939,-0.46
1821,0.992,126.4114566,52.955,0.48
1822,0.962,62.77495868,52.847,-0.83
1823,1.009,97.67567823,37.461,0.32
1824,1.011,77.9446723,75.724,0.03
1825,1.029,99.72095651,47.888,0.45
1826,0.994,132.6741871,52.614,-0.12
1827,0.982,126.7028651,38.949,0.74
1828,0.972,165.4955938,43.364,-0.96
1829,1.028,92.63741665,44.892,0.66
1830,1.029,88.46804609,60.962,0.51
1831,1.087,86.65356517,44.332,1.11
1832,0.982,167.7978669,86.608,0
1833,1.038,108.0902286,38.382,0.33
1834,1.022,66.03686316,42.602,0.14
1835,0.931,137.02078,55.581,-2.13
1836,0.969,108.3394024,67.832,0.56
1837,0.976,174.4963855,62.838,-1.03
1838,0.91,163.2249091,85.13,-2.61
1839,0.963,123.5339805,12.283,-0.87
1840,0.946,100.6436632,61.724,-0.47
1841,0.931,96.33551769,45.145,0.06
1842,0.949,66.64789473,69.948,0.3
1843,0.961,141.18431,31.52,0.12
1844,0.935,87.45536074,61.594,-1.55
1845,0.962,66.95552744,75.962,-1.29
1846,0.994,60.36517104,49.259,0.36
1847,0.968,105.1444698,68.996,-0.22
1848,0.953,79.39377195,42.184,-1.47
1849,0.939,172.4989419,51.739,-0.76
1850,1.035,100.6436632,47.371,-0.18
1851,0.959,89.6987592,49.781,-1.06
1852,1.027,93.92613149,44.415,0.32
1853,1.008,200.8105083,61.028,0.08
1854,1.06,162.8495023,44.911,0.55
1855,1.043,55.05369031,59.833,0.37
1856,1.124,72.57489823,56.402,1.47
1857,1.04,85.07195936,56.485,0.85
1858,1.013,92.4243565,59.371,-0.93
1859,1.002,89.9055362,44.814,-0.17
1860,0.961,112.9240474,52.219,-0.93
1861,1.02,86.05704623,65.806,0.77
1862,0.967,105.1444698,60.549,-0.1
1863,1.032,60.226335,42.636,1.29
1864,1.011,74.26538478,64.287,0.57
1865,1.014,83.32713224,52.103,-0.13
1866,0.991,186.9762458,43.984,-1.48
1867,1.003,122.1198987,62.39,0.02
1868,0.98,146.820411,53.635,-0.43
1869,0.999,90.11278986,33.66,0.02
1870,1.023,100.4121892,55.009,0.7
1871,1.017,64.38525729,49.326,0.97
1872,1.001,102.7510895,79.074,-0.51
1873,1.039,125.2525094,50.564,0.42
1874,1.04,91.15624679,40.531,0.6
1875,0.917,104.9026443,66.333,-2.37
1876,0.998,104.1804995,70.764,-0.15
1877,1.016,123.2498603,45.457,0.31
1878,1.019,80.12839348,43.115,0.07
1879,0.988,85.85912051,58.928,-0.82
1880,0.945,105.6297947,85.573,-1.63
1881,1.046,94.35967481,69.45,0.24
1882,1.04,81.05623655,52.554,0.47
1883,0.96,96.55759399,73.282,-1.59
1884,0.963,133.5938407,58.827,-0.93
1885,0.95,148.5205113,46.081,-0.33
1886,0.952,72.57489823,32.201,-0.24
1887,0.996,106.1173596,86.218,-0.28
1888,1.003,84.0981487,39.428,-0.14
1889,1.035,39.06487469,40.952,1.04
1890,1.016,137.6532392,78.408,0.29
1891,1.002,96.33551769,50.154,0.11
1892,1.004,78.66588548,48.525,0.14
1893,1.018,67.41964098,71.852,0.37
1894,1.068,115.0234622,76.166,1.22
1895,1.017,97.67567823,51.53,0.12
1896,1.067,70.59703077,60.707,-0.39
1897,1.069,83.32713224,51.385,1.23
