year,chron,tmean.aug,pdsi.sep,tmin.may,pcp.aug
1903,0.982,9.30700016,-1.4,-5.34800005,15.17199993
1904,0.979,9.262000084,-1.58,-4.486000061,40.20999908
1905,0.955,10.36300087,-1.06,-5.137000084,29.70599937
1906,0.93,8.511000633,1.19,-2.289999962,67.40399933
1907,0.901,8.80300045,2.83,-6.438000202,66.92900085
1908,0.966,7.847000599,2.3,-3.381999969,47.05400085
1909,0.99,10.71200085,1.34,-4.197000027,34.71500015
1910,1.028,7.605000496,-2.3,-4.909999847,18.61899948
1911,0.982,7.099000454,0.17,-4.752999783,22.70499992
1912,0.992,7.65500021,2.18,-5.087999821,49.39500046
1913,0.995,9.527000427,1.36,-4.643000126,20.56800079
1914,1.027,9.528000832,-0.9,-5.331999779,9.414999962
1915,0.978,9.736000061,4.46,-5.453000069,64.94999695
1916,1.028,9.028000832,1.93,-4.497000217,37.43799973
1917,1.004,9.005000114,-1.11,-5.191999912,16.19300079
1918,0.972,8.68900013,0.48,-5.639999866,39.68299866
1919,1.047,11.0710001,-5.2,-4.163000107,11.46899986
1920,1.004,9.625,-1.22,-4.485000134,48.04100037
1921,1.003,9.539000511,-1.78,-4.118000031,32.75899887
1922,0.964,12.37800026,-0.73,-0.768000007,51.44900131
1923,0.939,9.388000488,2.1,-3.832000017,57.00899887
1924,0.994,9.243000031,-1.13,-4.486999989,25.07799911
1925,0.998,9.727000237,1.18,-3.140000105,47.70299911
1926,1.009,11.33500099,1.05,0.27700001,81.80599976
1927,0.938,8.61400032,2.62,-4.853000164,59.32699966
1928,0.989,9.222000122,1.57,1.230000019,40.38999939
1929,1.01,12.35000038,-1.26,-5.795000076,33.64400101
1930,0.961,12.47600079,-2,-4.250999928,103.7180023
1931,0.998,10.72600079,-3.68,-3.802000046,31.70100021
1932,1.017,10.87100029,-1.48,-0.27700001,46.92100143
1933,1.03,9.718000412,-2.35,-4.446000099,71.55999756
1934,1.008,10.64700031,-2.97,-0.558000028,21.02300072
1935,1.014,10.77200031,-3.54,-1.842000008,24.77700043
1936,1.018,12.79300022,-3.82,1.513000011,57.62400055
1937,1.012,11.62100029,-2.32,0.552999973,12.97799969
1938,1.007,10.41900063,1.12,-4.132999897,52.27299881
1939,1.031,10.74900055,-1.86,0.981000006,33.93000031
1940,1.037,11.99400043,-1.67,-2.674000025,26.92900085
1941,0.99,10.26300049,2.75,-2.296999931,97.29599762
1942,1.009,9.995000839,0.77,-5.118999958,24.36700058
1943,1.033,11.04100037,1.23,-5.06099987,50.38700104
1944,1.003,10.65300083,2.24,-2.798000097,16.14100075
1945,0.997,9.54900074,2.29,-4.282000065,79.82499695
1946,1.027,9.819000244,0.39,-1.610999942,22.02700043
1947,1.016,10.76400089,0.77,-3.130000114,48.97000122
1948,1.003,12.15700054,-0.53,-0.55400002,37.33800125
1949,1.08,13.25700092,-0.95,-1.083999991,18.82799911
1950,1.008,10.57000065,3.51,-5.222000122,25.96999931
1951,0.93,10.36400032,4.15,-2.049000025,68.53900146
1952,1.033,12.15400028,1.78,-1.980000019,55.36899948
1953,1.043,12.53300095,-1.32,-4.420000076,49.27799988
1954,0.971,11.36900043,-1.55,-2.000999928,32.20800018
1955,1.032,13.8220005,-0.98,-1.264999986,25.28800011
1956,1.048,10.61900043,1.14,-0.634000003,30.96800041
1957,1.053,12.13800049,4.28,-2.309000015,31.60700035
1958,0.992,12.16600037,2.13,1.628000021,49.39099884
1959,1.015,11.34100056,0.9,-4.744999886,25.35499954
1960,1.035,10.10300064,-2.87,-2.490999937,60.8370018
1961,1.015,13.2300005,-1.44,-2.16899991,61.34899902
1962,1.015,10.28200054,3.05,-2.614000082,64.66400146
1963,1.047,11.91400051,1.45,-1.35800004,12.27900028
1964,1.005,9.816000938,1.33,-2.11500001,43.73600006
1965,1.014,9.701000214,4.61,-3.78399992,50.43299866
1966,1.036,10.82500076,-1.19,0.050000001,48.3030014
1967,1.045,12.24100018,2.28,-4.053999901,16.74300003
1968,0.894,8.399000168,3.77,-4.330999851,101.0680008
1969,1.044,13.83200073,1.02,-0.597000003,14.99699974
1970,1.013,13.59200096,2.22,-2.99000001,33.12799835
1971,1.04,14.07600021,2.06,-2.982000113,43.58800125
1972,0.997,11.11400032,3.51,-2.964999914,59.96300125
1973,1.005,11.62200069,-0.74,-4.043000221,42.07799911
1974,0.954,8.624000549,2.07,-4.059999943,71.10800171
1975,0.919,9.124000549,2.81,-5.497000217,40.69100189
1976,0.984,9.990000725,2.99,-1.919999957,33.70399857
1977,0.982,9.292000771,-3.03,-2.969000101,69.95200348
1978,0.945,9.68200016,2.51,-4.342999935,16.68700027
1979,0.963,10.89900017,-2.13,-3.256999969,69.16100311
1980,0.965,8.909000397,1.38,-1.899999976,49.43000031
1981,0.972,12.37500095,-1.38,-2.832999945,23.62800026
1982,0.951,12.7140007,2.9,-4.427999973,49.77500153
1983,0.98,12.83300018,1.61,-5.886000156,41.63899994
1984,0.993,12.11900043,2.5,-5.190000057,59.90999985
1985,0.948,9.729000092,1.27,-2.575000048,51.43000031
1986,0.976,11.66300011,2.84,-4.888000011,50.9679985
1987,0.944,8.430000305,1.64,-0.913999975,70.73200226
1988,1.029,11.22600079,-3.36,-2.519000053,7.403999805
1989,0.943,10.71900082,0.63,-3.573999882,71.31800079
1990,0.95,10.78600025,-0.74,-5.695000172,60.24599838
1991,0.983,11.96000099,0.94,-3.806999922,38.19900131
1992,0.952,9.820000648,3.13,-2.048000097,20.15299988
1993,0.872,8.119000435,2.75,-2.48300004,50.8030014
1994,0.983,11.69800091,-1.52,-2.038000107,24.83200073
1995,0.97,11.06200027,2.54,-5.972000122,35.56600189
1996,1.024,10.92400074,2.69,-4.584000111,27.00499916
1997,0.974,10.20000076,4.67,-4.06799984,66.07299805
1998,1.002,11.78800011,1.12,-3.051000118,55.2879982
1999,0.987,11.51300049,1.35,-4.078999996,59.86600113
2000,1.039,12.38600063,-1.11,-2.551000118,25.64599991
2001,1.013,12.95000076,-2.34,-2.915999889,15.44799995
2002,0.957,9.552000046,1.25,-5.087999821,51.15999985
2003,1.049,13.25700092,-2.51,-3.572000027,18.11899948
2004,0.909,9.112000465,1.63,-3.292999983,77.56300354
2005,0.961,10.84900093,0.7,-4.098999977,56.93999863
2006,0.963,11.15400028,-2.51,-2.496000051,17.15399933
2007,0.984,12.20500088,-1.82,-2.585999966,46.89799881
2008,0.946,11.6600008,-1.03,-3.719000101,21.81100082
2009,0.955,10.48900032,1.56,-4.107999802,50.35499954
2010,0.966,10.81300068,-0.38,-7.111999989,56.03499985
2011,0.975,12.18200016,1.33,-4.586999893,34.92200089
2012,0.989,12.69800091,-2.64,-4.063000202,22.34900093
2013,0.974,12.8930006,-1.25,-2.667999983,29.19799995
2014,0.909,10.12100029,3.31,-3.285000086,93.75
2015,0.999,11.27400017,-1.67,-2.77699995,60.03099823
,,10.95100021,-3.13,-2.693000078,20.57900047
,,11.23300076,0.57,-3.457999945,41.97700119
,,11.00700092,2.6,-0.935000002,45.24000168
,,11.51049995,-1.16,-4.590000153,42.63000107
,,,-4.21,,
