year,chron,tmax.lsum,stream.yel,swe.yel
897,0.415,0.13,156.5980809,50.361
898,0.375,-0.73,130.8538291,52.34
899,0.461,0.06,141.5097734,36.611
900,0.4,0.99,113.9689207,56.687
901,0.391,-0.88,126.1207183,59.097
902,0.457,1.29,100.4121892,38.681
903,0.487,-0.77,77.76540453,49.643
904,0.471,0.09,83.90472832,44.597
905,0.424,0.51,88.26457523,47.831
906,0.416,-0.69,125.2525094,55.436
907,0.362,0.54,92.63741665,53.746
908,0.51,-1.1,108.3394024,35.046
909,0.618,-0.77,116.8924431,38.035
910,0.51,-0.95,126.1207183,49.22
911,0.336,-1.22,106.85293,72.114
912,0.426,-1.07,78.12435333,51.841
913,0.465,0.28,56.20648616,47.48
914,0.299,-0.66,104.4206604,66.386
915,0.368,1.18,80.12839348,50.396
916,0.438,-0.69,119.6152178,38.815
917,0.5,-0.24,124.1041875,36.074
918,0.356,-0.47,89.49245778,56.735
919,0.486,-1.33,119.0656358,53.229
920,0.596,-0.13,63.50185844,34.604
921,0.273,-0.24,85.26807048,69.184
922,0.486,0.84,79.39377195,41.763
923,0.597,0.28,86.4542675,33.091
924,0.239,0.17,52.81854525,66.767
925,0.332,1.07,128.4654775,47.487
926,0.346,1.48,111.6314165,49.421
927,0.162,0.62,75.64608137,74.221
928,0.259,-0.39,151.9799984,52.286
929,0.15,-0.62,118.5185789,72.485
930,0.099,-2.6,103.940891,79.307
931,0.199,0.73,92.63741665,49.818
932,0.387,-0.32,90.73742188,36.416
933,0.305,0.35,87.05353986,63.378
934,0.313,0.28,73.07796339,57.971
935,0.284,0.43,102.7510895,58.642
936,0.331,1.66,103.940891,33.732
937,0.258,-1.37,143.4783704,53.199
938,0.105,0.84,108.8394743,77.279
939,0.141,0.02,83.13548515,77.64
940,0.339,0.32,84.0981487,57.219
941,0.197,0.47,116.6235979,61.497
942,0.183,-1.03,73.75414546,74.869
943,0.211,-0.36,112.9240474,54.975
944,0.24,0.02,96.11395214,55.231
945,0.194,-4.7,112.4052085,78.889
946,0.269,-1.74,98.57946016,80.808
947,0.272,-1.4,73.58451564,55.184
948,0.288,-0.17,76.17043495,50.84
949,0.222,0.58,89.28663084,63.983
950,0.199,-0.43,119.6152178,47.904
951,0.369,0.09,102.7510895,16.31
952,0.329,-0.66,126.4114566,42.703
953,0.443,0.47,145.4743534,23.632
954,0.293,-0.13,121.2792313,66.297
955,0.479,0.65,79.94410329,33.188
956,0.443,0.69,97.90084392,41.043
957,0.255,1.22,41.57061366,52.579
958,0.491,0.62,148.8628864,38.125
959,0.489,-0.77,85.66165002,60.202
960,0.568,0.24,51.97403512,42.146
961,0.56,-0.32,68.67306569,38.469
962,0.444,0.77,82.18384112,42.852
963,0.572,-0.47,106.85293,20.321
964,0.589,1.25,102.5147686,26.95
965,0.194,0.95,107.0992515,44.689
966,0.246,1.14,63.7949697,55.098
967,0.143,0.32,106.85293,71.535
968,0.254,0.92,89.6987592,56.083
969,0.208,0.77,84.29201495,49.594
970,0.134,-0.36,122.6835786,77.418
971,0.148,-0.28,69.14908464,67.661
972,0.257,-0.66,154.4494747,39.389
973,0.329,-1.29,151.6304541,22.524
974,0.327,-2.79,133.9018063,50.699
975,0.332,0.09,77.40810495,49.914
976,0.279,-0.88,157.6835669,67.515
977,0.25,-0.47,78.12435333,74.37
978,0.291,-1.33,87.85903634,52.071
979,0.979,-0.99,83.32713224,44.07
980,0.882,-1.37,84.0981487,67.95
981,0.91,-4.1,90.73742188,53.821
982,1.006,0.24,86.25542821,43.714
983,0.623,-1.4,93.27954855,78.498
984,0.765,-0.84,78.12435333,58.923
985,0.743,-1.52,97.45103041,65.292
986,0.875,0.43,115.8207667,24.468
987,0.802,-1.74,120.7220038,44.618
988,0.917,-0.36,95.45230835,31.273
989,0.695,-0.51,96.78018223,59.136
990,0.248,-0.39,109.0903752,95.055
991,0.281,0.24,168.9609861,38.064
992,0.242,-0.24,71.5791333,79.058
993,0.24,-3.01,108.3394024,72.492
994,0.321,-2.08,92.63741665,41.833
995,0.494,0.24,77.05244702,45.761
996,0.711,-1.78,93.92613149,52.789
997,0.589,1.52,58.99109199,49.696
998,0.488,0.47,60.36517104,64.25
999,0.36,-1.14,97.45103041,92.411
1000,0.479,-0.17,117.4319941,61.247
1001,0.588,0.35,145.4743534,55.887
1002,0.571,1.4,112.1466837,54.387
1003,0.422,1.25,78.48495896,78.902
1004,0.603,-0.06,112.4052085,63.733
1005,0.683,-0.77,106.85293,34.015
1006,0.745,0.88,102.043756,42.568
1007,0.612,1.07,92.21178638,44.841
1008,0.666,-0.69,148.5205113,53.571
1009,0.566,-1.48,127.8752323,66.863
1010,0.651,-1.33,91.15624679,45.634
1011,0.616,-1.22,95.45230835,60.22
1012,0.428,-0.73,54.67470337,75.531
1013,0.683,0.47,110.099776,47.317
1014,0.581,-0.69,47.72945062,73.255
1015,0.741,-0.99,69.30848974,40.75
1016,0.72,-0.36,79.94410329,49.865
1017,0.678,-0.73,107.841628,52.735
1018,0.765,1.03,65.13080343,46.546
1019,0.615,-0.39,121.8390308,40.438
1020,0.488,-1.78,107.5935992,63.74
1021,0.434,-0.66,73.92416633,77.335
1022,0.223,-0.02,88.26457523,67.346
1023,0.409,1.29,134.8299693,47.444
1024,0.593,0.95,153.386252,37.127
