year,chron,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct,tmean.mjja,ppt.jja,pdsi.aso,tmin.mjja,tmax.mjja
1779,1.115,,,,,,,,,,,
1780,1.171,,,,,,,,,,,
1781,1.154,,,,,,,,,,,
1782,1.127,,,,,,,,,,,
1783,1.162,,,,,,,,,,,
1784,1.158,,,,,,,,,,,
1785,1.145,,,,,,,,,,,
1786,1.191,,,,,,,,,,,
1787,1.133,,,,,,,,,,,
1788,1.208,,,,,,,,,,,
1789,1.164,,,,,,,,,,,
1790,1.185,,,,,,,,,,,
1791,1.171,,,,,,,,,,,
1792,1.206,,,,,,,,,,,
1793,1.201,,,,,,,,,,,
1794,1.253,,,,,,,,,,,
1795,1.243,,,,,,,,,,,
1796,1.231,,,,,,,,,,,
1797,1.208,,,,,,,,,,,
1798,1.222,,,,,,,,,,,
1799,1.207,,,,,,,,,,,
1800,1.231,,,,,,,,,,,
1801,1.209,,,,,,,,,,,
1802,1.281,,,,,,,,,,,
1803,1.218,,,,,,,,,,,
1804,1.217,,,,,,,,,,,
1805,1.19,,,,,,,,,,,
1806,1.189,,,,,,,,,,,
1807,1.193,,,,,,,,,,,
1808,1.198,,,,,,,,,,,
1809,1.135,,,,,,,,,,,
1810,1.163,,,,,,,,,,,
1811,1.192,,,,,,,,,,,
1812,1.228,,,,,,,,,,,
1813,1.188,,,,,,,,,,,
1814,1.203,,,,,,,,,,,
1815,1.188,,,,,,,,,,,
1816,1.201,,,,,,,,,,,
1817,1.226,,,,,,,,,,,
1818,1.211,,,,,,,,,,,
1819,1.219,,,,,,,,,,,
1820,1.2,,,,,,,,,,,
1821,1.229,,,,,,,,,,,
1822,1.217,,,,,,,,,,,
1823,1.186,,,,,,,,,,,
1824,1.18,,,,,,,,,,,
1825,1.16,,,,,,,,,,,
1826,1.147,,,,,,,,,,,
1827,1.181,,,,,,,,,,,
1828,1.116,,,,,,,,,,,
1829,1.186,,,,,,,,,,,
1830,1.174,,,,,,,,,,,
1831,1.21,,,,,,,,,,,
1832,1.163,,,,,,,,,,,
1833,1.175,,,,,,,,,,,
1834,1.136,,,,,,,,,,,
1835,1.052,,,,,,,,,,,
1836,1.162,,,,,,,,,,,
1837,1.112,,,,,,,,,,,
1838,1.089,,,,,,,,,,,
1839,1.116,,,,,,,,,,,
1840,1.173,,,,,,,,,,,
1841,1.172,,,,,,,,,,,
1842,1.119,,,,,,,,,,,
1843,1.09,,,,,,,,,,,
1844,1.085,,,,,,,,,,,
1845,1.092,,,,,,,,,,,
1846,1.127,,,,,,,,,,,
1847,1.114,,,,,,,,,,,
1848,1.064,,,,,,,,,,,
1849,1.163,,,,,,,,,,,
1850,1.159,,,,,,,,,,,
1851,1.157,,,,,,,,,,,
1852,1.202,,,,,,,,,,,
1853,1.232,,,,,,,,,,,
1854,1.208,,,,,,,,,,,
1855,1.17,,,,,,,,,,,
1856,1.248,,,,,,,,,,,
1857,1.268,,,,,,,,,,,
1858,1.172,,,,,,,,,,,
1859,1.198,,,,,,,,,,,
1860,1.164,,,,,,,,,,,
1861,1.217,,,,,,,,,,,
1862,1.187,,,,,,,,,,,
1863,1.226,,,,,,,,,,,
1864,1.206,,,,,,,,,,,
1865,1.202,,,,,,,,,,,
1866,1.167,,,,,,,,,,,
1867,1.194,,,,,,,,,,,
1868,1.179,,,,,,,,,,,
1869,1.152,,,,,,,,,,,
1870,1.206,,,,,,,,,,,
1871,1.208,,,,,,,,,,,
1872,1.181,,,,,,,,,,,
1873,1.209,,,,,,,,,,,
1874,1.182,,,,,,,,,,,
1875,1.119,,,,,,,,,,,
1876,1.147,,,,,,,,,,,
1877,1.156,,,,,,,,,,,
1878,1.164,,,,,,,,,,,
1879,1.153,,,,,,,,,,,
1880,1.147,,,,,,,,,,,
1881,1.208,,,,,,,,,,,
1882,1.197,,,,,,,,,,,
1883,1.176,,,,,,,,,,,
1884,1.169,,,,,,,,,,,
1885,1.159,,,,,,,,,,,
1886,1.146,,,,,,,,,,,
1887,1.172,,,,,,,,,,,
1888,1.176,,,,,,,,,,,
1889,1.185,,,,,,,,,,,
1890,1.189,,,,,,,,,,,
1891,1.154,,,,,,,,,,,
1892,1.167,,,,,,,,,,,
1893,1.175,,,,,,,,,,,
1894,1.205,,,,,,,,,,,
1895,1.176,9.934000015,2.845000029,-3.951999903,17.02300072,17.81800079,-1.44,6.794000268,124.4760036,-1.033333333,0.033250034,13.55550027
1896,1.15,10.77600098,4.796000004,-3.335000038,16.75699997,28.70800018,-2.29,7.758000553,122.0909996,-2.446666667,1.699000016,13.81750011
1897,1.211,12.91200066,6.623000145,0.681999981,19.20299911,11.57299995,-2.84,9.263250589,172.8389988,-2.793333333,2.859000057,15.66874957
1898,1.175,10.81000042,3.194000006,-2.792999983,18.4260006,15.5010004,-1.96,7.002250284,173.1729974,-1.81,0.768250018,13.23650038
1899,1.112,8.347000122,0.49000001,-4.080999851,16.20400047,39.8409996,-2.53,6.870000303,135.9029999,-2.29,0.104500056,13.63550019
1900,1.189,9.383000374,1.279999971,-2.786999941,17.48699951,21.51099968,-4.86,8.40650034,46.3369999,-5.04,0.435000002,16.37924981
1901,1.155,11.49800014,5.058000088,-0.400999993,17.93899918,25.46899986,-2.18,8.692250252,140.8789997,-2.003333333,1.988500007,15.3972497
1902,1.179,8.541000366,0.656000018,-2.316999912,16.42700005,8.798000336,-3.36,6.75600028,114.7470016,-3.116666667,-0.677499965,14.19099998
1903,1.165,9.30700016,1.712000012,-5.34800005,16.90200043,15.17199993,-1.57,6.377250284,134.3900023,-1.643333333,-0.537500009,13.29325008
1904,1.158,9.262000084,1.705000043,-4.486000061,16.81900024,40.20999908,-1.98,6.3012501,125.7439957,-1.563333333,-0.949750036,13.55299997
1905,1.149,10.36300087,3.374000072,-5.137000084,17.35300064,29.70599937,-0.8,5.696250285,183.8399944,-0.83,-0.6505,12.04375029
1906,1.113,8.511000633,0.683000028,-2.289999962,16.34000015,67.40399933,0.87,6.412750244,171.3339996,1.263333333,-0.572749988,13.39974976
1907,1.082,8.80300045,0.279000014,-6.438000202,17.32799911,66.92900085,2.29,5.680250341,214.6569977,2.64,-1.234750055,12.59674978
1908,1.142,7.847000599,0.280999988,-3.381999969,15.41499996,47.05400085,2.6,6.775000513,187.6940003,2.623333333,0.48825001,13.0630002
1909,1.168,10.71200085,2.282999992,-4.197000027,19.14299965,34.71500015,1.21,7.332250595,156.6299973,1.083333333,0.347000003,14.31874967
1910,1.201,7.605000496,-1.574000001,-4.909999847,16.7859993,18.61899948,-1.68,7.126250267,78.56100082,-2.383333333,-1.28974995,15.54299998
1911,1.159,7.099000454,-0.97299999,-4.752999783,15.17199993,22.70499992,0.71,6.388750255,133.6299992,0.1,-0.98999995,13.76874995
1912,1.167,7.65500021,0.105999999,-5.087999821,15.20499992,49.39500046,3.25,5.840000182,161.3810005,2.203333333,-1.210499959,12.89174986
1913,1.172,9.527000427,0.68900001,-4.643000126,18.36599922,20.56800079,1.75,6.825750411,194.2940063,1.543333333,-1.115250033,14.76749992
1914,1.194,9.528000832,0.418000013,-5.331999779,18.63899994,9.414999962,-0.73,7.35975033,134.4869967,-0.986666667,-0.852249973,15.57225037
1915,1.142,9.736000061,1.493999958,-5.453000069,17.97900009,64.94999695,3.94,5.467000157,259.2330017,4.066666667,-2.187999979,13.12325001
1916,1.196,9.028000832,0.034000002,-4.497000217,18.02300072,37.43799973,2.39,6.821250409,157.6860008,2.266666667,-0.595750043,14.24000001
1917,1.174,9.005000114,1.299999952,-5.191999912,16.71100044,16.19300079,-1.42,6.680750273,83.77600097,-1.293333333,-0.34800005,13.71025002
1918,1.145,8.68900013,1.350000024,-5.639999866,16.02899933,39.68299866,1.24,7.077500165,149.0299988,0.3,0.107250005,14.04874969
1919,1.218,11.0710001,3.430000067,-4.163000107,18.71299934,11.46899986,-4.13,9.15800035,38.1949997,-4.973333333,0.825499997,17.49099994
1920,1.17,9.625,2.536000013,-4.485000134,16.7140007,48.04100037,-1.15,6.728250295,159.5569973,-1.08,-0.449500025,13.90725017
1921,1.164,9.539000511,1.531000018,-4.118000031,17.54899979,32.75899887,-2.39,7.069500327,137.637001,-1.963333333,0.152499974,13.98724985
1922,1.14,12.37800026,4.170000076,-0.768000007,20.58699989,51.44900131,-1,8.541000366,183.4470024,-0.236666667,1.861000031,15.22175002
1923,1.111,9.388000488,2.832000017,-3.832000017,15.94499969,57.00899887,3.16,8.476000369,232.3329963,2.303333333,2.535499931,14.41750002
1924,1.161,9.243000031,1.521000028,-4.486999989,16.96500015,25.07799911,1.02,6.855750263,136.9179993,-0.496666667,-0.175499976,13.88725019
1925,1.165,9.727000237,2.263999939,-3.140000105,17.19000053,47.70299911,1.45,7.925500333,162.4649963,1.376666667,0.850499992,15.00100017
1926,1.167,11.33500099,6.138000011,0.27700001,16.53300095,81.80599976,0.6,8.795000553,180.5090027,0.19,2.834499978,14.75650024
1927,1.103,8.61400032,3.75999999,-4.853000164,13.46800041,59.32699966,2.21,6.716500256,184.9329948,2.52,1.749500036,11.68425012
1928,1.157,9.222000122,1.631999969,1.230000019,16.81399918,40.38999939,1.42,8.323000431,196.9440002,1.776666667,2.411750018,14.23525
1929,1.171,12.35000038,5.031000137,-5.795000076,19.67099953,33.64400101,-1.74,8.573250264,117.6520004,-1.526666667,1.570250094,15.57799959
1930,1.137,12.47600079,7.72300005,-4.250999928,17.22900009,103.7180023,2.36,8.802500546,183.8620014,-0.593333333,2.394750029,15.21124983
