year,chron,ppt.jja,tmax.paug,pdsi.poct,tmax.lsum,stream.yel,swe.yel
1646,1.394,,,,0.77,44.64639893,55.786
1647,0.973,,,,1.85,98.57946016,45.492
1648,0.828,,,,-0.24,75.64608137,61.46
1649,0.901,,,,1.4,75.64608137,41.636
1650,0.512,,,,1.33,132.369045,58.583
1651,0.962,,,,1.18,104.4206604,38.841
1652,0.791,,,,1.59,62.3428189,42.849
1653,1.21,,,,0.51,72.74220065,43.657
1654,0.795,,,,0.62,123.8187558,62.496
1655,0.938,,,,0.13,105.6297947,49.577
1656,1.004,,,,0.58,79.02899071,48.22
1657,1.408,,,,0.73,45.16337987,58.142
1658,0.839,,,,0.88,74.78016783,53.684
1659,0.666,,,,0.43,64.83155457,36.737
1660,1.073,,,,-1.55,89.08127729,52.253
1661,0.738,,,,0.69,94.79521928,41.913
1662,1.3,,,,-0.92,103.7018336,57.18
1663,1.145,,,,-1.1,91.78811171,90.536
1664,1.104,,,,-0.43,105.3868529,51.421
1665,0.464,,,,-1.18,82.94427884,56.167
1666,0.889,,,,-0.43,144.1406365,51.708
1667,0.411,,,,-0.13,69.30848974,69.604
1668,0.813,,,,-0.32,105.3868529,51.063
1669,0.588,,,,-1.89,94.14265358,67.806
1670,0.425,,,,0.24,101.1082132,53.616
1671,0.512,,,,-0.13,70.43466211,59.613
1672,0.727,,,,-0.24,126.1207183,70.574
1673,0.845,,,,-1.03,120.7220038,53.241
1674,0.854,,,,-0.92,138.6074059,63.365
1675,0.998,,,,0.69,121.2792313,41.175
1676,0.897,,,,-1.14,217.1633015,48.908
1677,0.925,,,,0.88,95.45230835,46.404
1678,0.852,,,,-0.54,71.90952757,52.728
1679,0.715,,,,0.51,97.00328359,55.847
1680,0.91,,,,1.07,149.2060508,57.174
1681,0.68,,,,0.8,74.43658417,69.544
1682,0.851,,,,0.17,107.5935992,56.397
1683,0.648,,,,-0.13,138.926929,50.43
1684,0.82,,,,0.73,136.705641,44.226
1685,0.993,,,,-0.54,92.4243565,51.842
1686,1.041,,,,-0.28,71.74414024,61.418
1687,0.847,,,,0.09,165.8771006,52.272
1688,0.807,,,,-0.92,119.6152178,63.225
1689,1.13,,,,0.99,95.89289619,31.669
1690,1.093,,,,0.99,82.5631845,52.079
1691,1.083,,,,0.51,132.0646046,59.364
1692,1.249,,,,-0.73,158.7765772,63.678
1693,0.946,,,,-0.06,105.1444698,70.805
1694,1.224,,,,-0.36,147.8381215,46.615
1695,0.854,,,,-0.88,53.30726923,56.005
