year,chron,ppt.jja,tmax.paug,pdsi.poct,tmax.lsum,stream.yel,swe.yel
1971,0.738,117.5830021,23.23200035,2.01,0.62,102.2789911,72.216
1972,0.67,178.1130028,23.64699936,2.49,-0.57,103.940891,73.164
1973,0.809,116.2190018,20.43899918,4.04,0.05,97.00328359,33.339
1974,0.94,137.1369991,21.28100014,-1.11,-1.41,107.0992515,77.414
1975,1.236,206.5479965,18.50699997,1.15,-2.48,128.4654775,62
1976,1.322,140.3980007,18.18700027,3.68,-0.04,102.5147686,51.539
1977,0.897,150.1969986,19.16600037,2.33,-0.15,40.15932786,47.112
1978,1.289,100.375001,18.42900085,-3.11,-1.08,162.4749588,59.963
1979,1.165,139.3789978,19.34900093,1.33,-0.3,104.4206604,51.484
1980,1.459,160.7989998,19.54299927,-1.89,-1.24,130.2526103,56.924
1981,1.324,173.6139984,17.84300041,1.86,0.69,105.8732965,29.45
1982,1.589,193.8050003,21.52199936,-0.94,-0.3,124.1041875,60.535
1983,1.357,153.2470016,23.40500069,2.86,0.63,127.2876989,58.088
1984,1.022,159.1119995,21.79999924,1.54,0.01,125.8306487,41.185
1985,0.791,149.3279991,22.04400063,2.77,-2.35,87.65696617,59.298
1986,1.233,170.1749992,20.06900024,1.78,-0.25,180.2131324,72.747
1987,1.163,236.5390015,22.35000038,2.08,0.22,73.92416633,34.81
1988,0.961,58.82699919,18.45100021,0.95,2.22,68.83137346,30.179
1989,0.947,156.7480011,22.69599915,-4.33,-1.4,95.01374483,65.912
1990,1.233,129.9920006,19.85099983,-0.94,-0.84,92.85096795,46.154
1991,1.446,103.7600002,20.30800056,1.07,-0.1,103.940891,48.116
1992,1.002,289.5020046,21.90299988,0.76,-0.47,66.03686316,42.98
1993,1.233,232.9140015,19.51000023,3.22,-3.02,132.369045,50.744
1994,0.905,135.579998,16.97599983,3.25,0.96,82.75351229,33.179
1995,1.224,158.166996,21.91300011,0.87,-0.29,127.5811274,60.543
1996,1.135,68.5510006,20.85400009,2.88,0.61,119.3401105,68.239
1997,1.316,203.5179939,21.31100082,2.76,-1.02,137.3366455,66.804
1998,1.132,233.0180054,19.08699989,4.4,0.04,176.5169584,44.632
1999,1.223,156.6549988,21.12700081,0.72,-0.18,115.8207667,53.686
2000,1.17,105.4940033,20.6989994,1.12,1.56,76.34602594,38.167
2001,0.699,153.5560017,22.3560009,-0.9,0.77,45.89722576,26.27
2002,0.667,182.0110016,23.10000038,-1.47,-0.38,76.87523131,44.663
2003,0.88,79.08599854,18.95599937,1.73,1.32,76.17043495,43.614
2004,0.158,187.5580025,22.70499992,-2.77,-1.5,86.65356517,48.809
2005,0.936,168.5039978,17.93099976,2.11,-0.41,120.7220038,48.416
2006,0.476,101.0949993,20.04500008,-0.48,0.41,74.95255392,40.972
2007,0.901,152.0760002,21.07600021,-1.91,0.78,73.41527595,45.558
2008,1.033,100.0820007,21.68400002,1.16,-0.59,114.2316462,70.971
2009,1.04,216.920002,21.67300034,-0.74,0.14,133.2865834,53.161
2010,0.667,171.5930042,19.68099976,2.18,-0.76,78.30444857,53.871
2011,1.013,122.3339996,20.17300034,-0.24,0.18,120.4443509,65.189
2012,0.847,88.2820015,21.8010006,1.65,1.47,74.95255392,62.186
2013,0.845,115.9330006,22.57999992,-2.06,0.9,81.43037514,44.737
2014,0.945,181.8399982,22.47500038,1.36,-0.95,109.0903752,52.841
