year,chron,stream.yel,swe.yel,tmax.lsum
1859,1.489,89.9055362,44.814,-0.17
1860,1.017,112.9240474,52.219,-0.93
1861,1.135,86.05704623,65.806,0.77
1862,0.92,105.1444698,60.549,-0.1
1863,1.335,60.226335,42.636,1.29
1864,1.098,74.26538478,64.287,0.57
1865,1.062,83.32713224,52.103,-0.13
1866,1.133,186.9762458,43.984,-1.48
1867,0.96,122.1198987,62.39,0.02
1868,0.944,146.820411,53.635,-0.43
1869,0.826,90.11278986,33.66,0.02
1870,0.993,100.4121892,55.009,0.7
1871,1.154,64.38525729,49.326,0.97
1872,0.878,102.7510895,79.074,-0.51
1873,1.46,125.2525094,50.564,0.42
1874,1.294,91.15624679,40.531,0.6
1875,1.037,104.9026443,66.333,-2.37
1876,0.98,104.1804995,70.764,-0.15
1877,0.847,123.2498603,45.457,0.31
1878,1.158,80.12839348,43.115,0.07
1879,0.898,85.85912051,58.928,-0.82
1880,0.761,105.6297947,85.573,-1.63
1881,0.863,94.35967481,69.45,0.24
1882,1.046,81.05623655,52.554,0.47
1883,0.739,96.55759399,73.282,-1.59
1884,0.787,133.5938407,58.827,-0.93
1885,0.903,148.5205113,46.081,-0.33
1886,0.973,72.57489823,32.201,-0.24
1887,0.937,106.1173596,86.218,-0.28
1888,1.09,84.0981487,39.428,-0.14
1889,0.961,39.06487469,40.952,1.04
1890,1.065,137.6532392,78.408,0.29
1891,0.93,96.33551769,50.154,0.11
1892,1.147,78.66588548,48.525,0.14
1893,1.168,67.41964098,71.852,0.37
1894,1.039,115.0234622,76.166,1.22
1895,1.034,97.67567823,51.53,0.12
1896,1.076,70.59703077,60.707,-0.39
1897,1.037,83.32713224,51.385,1.23
1898,1.254,114.2316462,46.339,0.91
1899,0.893,91.36638364,81.648,-2.4
1900,0.888,73.92416633,35.131,0.86
1901,0.928,79.76023695,37.163,0.82
1902,0.794,66.49460883,75.675,0.64
1903,0.92,96.78018223,58.463,0.56
1904,0.963,109.3418545,35.795,0.25
1905,1.023,86.05704623,31.461,-0.17
1906,1.023,132.9800327,46.457,-0.96
1907,0.893,184.8359464,64.048,-2.22
1908,1.15,147.8381215,23.439,-1.04
1909,0.96,122.1198987,59.215,0.51
1910,0.894,113.1843642,54.05,1.36
1911,0.909,123.2498603,64.413,-0.18
1912,1.081,121.5588088,59.496,-0.47
1913,1.053,189.1413287,53.435,0.04
1914,1.017,181.4623102,33.541,0.92
