year,std,stream.yel,swe.yel,tmax.lsum
803,0.917,113.7067995,78.271,-1.85
804,0.937,66.801534,43.039,-0.39
805,0.916,140.859595,65.313,-1.78
806,0.679,89.08127729,75.402,-0.28
807,0.914,74.60817822,61.063,-2.08
808,0.921,106.1173596,44.084,-0.43
809,0.717,98.12652868,68.416,-1.55
810,0.902,94.79521928,57.19,-0.54
811,0.785,93.71010738,69.948,0.69
812,0.863,74.95255392,58.867,0.13
813,0.923,109.5939135,60.744,-0.36
814,0.873,82.75351229,53.55,-0.8
815,0.823,92.63741665,56.156,-0.69
816,0.572,163.6011814,83.174,-1.55
817,0.645,86.85332227,57.398,0.92
818,0.811,77.40810495,60.784,-0.28
819,1.055,122.6835786,35.336,0.32
820,0.917,141.18431,65.758,-1.14
821,0.874,94.35967481,57.576,-0.84
822,0.702,119.0656358,61.115,0.95
823,0.928,165.4955938,50.279,-1.14
824,0.686,83.32713224,62.651,0.65
825,1.303,138.2886177,13.629,-0.09
826,1.117,112.9240474,35.193,0.06
827,0.981,117.4319941,43.995,-0.02
828,1.409,87.05353986,19.498,-3.16
829,1.243,74.95255392,46.663,-0.77
830,1.065,96.55759399,49.23,0.21
831,1.183,91.78811171,43.646,-1.25
832,1.873,78.48495896,6.311,0.06
833,1.342,118.2459938,41.922,0.02
834,0.95,138.2886177,67.499,0.47
835,0.712,144.8059595,92.007,-1.63
836,0.789,88.671986,55.744,-0.32
837,1.044,91.99970516,41.255,0.02
838,1.1,59.53692985,41.114,-0.84
839,0.906,53.30726923,47.159,-1.67
840,1.139,175.3018242,46.423,-2
841,0.797,89.9055362,68.457,-1.18
842,1.273,80.49824934,31.588,-1.4
843,1.42,106.6071751,27.472,0.28
844,0.631,92.4243565,87.536,-0.54
845,0.822,71.41450586,57.019,0.28
846,1.587,89.6987592,26.435,-1.1
847,0.79,80.68381697,71.973,0.02
848,1.033,109.0903752,48.124,-1.48
849,1.046,78.48495896,48.418,1.22
850,1.563,113.7067995,17.805,1.89
851,0.859,93.27954855,81.288,1.14
852,1.087,109.8465536,49.398,1.63
853,1.004,128.1700151,55.296,1.22
854,1.011,133.2865834,68.703,-2.71
855,1.389,74.09457913,35.316,0.54
856,1.135,135.4523161,32.018,0.65
857,1.602,96.33551769,29.45,-0.13
858,1.376,158.4114012,40.893,0.58
859,1.362,142.4906723,38.953,0.21
860,0.787,83.13548515,78.344,1.22
861,0.638,76.5220217,95.551,-0.06
862,0.964,81.99482353,46.061,0.88
863,0.792,81.05623655,65.627,0.65
864,0.924,118.5185789,57.001,-1.03
865,0.691,62.63058028,63.339,-0.02
866,0.869,114.4949774,68.127,-1.18
867,0.748,67.57505931,71.032,0.35
868,0.744,65.73345134,83.624,0.02
869,0.938,118.2459938,59.279,0.62
870,1.065,88.46804609,40.46,0.02
871,0.769,110.099776,60.498,-0.21
872,0.962,68.51512202,47.75,0.54
873,0.76,50.79096164,70.251,0.02
874,0.867,106.3619854,49.216,0.39
875,1.131,142.8191472,35.144,1.44
876,0.914,87.85903634,62.7,0.28
877,1.363,132.6741871,34.553,-0.39
878,1.231,158.0470651,28.577,1.37
879,1.18,144.472915,57.67,0.51
880,1.111,87.05353986,54.53,0.92
881,1.167,138.6074059,63.139,0.84
882,0.793,58.72005254,75.585,1.4
883,0.667,69.46826231,76.345,0.77
884,0.695,101.5749075,62.548,0.32
885,0.911,109.3418545,57.779,1.14
886,0.892,120.7220038,55.646,0.58
887,1.29,86.05704623,32.291,2.23
888,0.89,141.18431,69.482,0.92
889,0.826,97.45103041,60.103,0.69
890,0.601,63.50185844,75.121,2.08
