year,chron,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct,tmean.mjja,ppt. jja,pdsi.aso,tmin.mjja,tmax.mjja
1753,1.001,,,,,,,,,,,
1754,1.017,,,,,,,,,,,
1755,0.962,,,,,,,,,,,
1756,1.04,,,,,,,,,,,
1757,1.004,,,,,,,,,,,
1758,0.981,,,,,,,,,,,
1759,1.023,,,,,,,,,,,
1760,0.99,,,,,,,,,,,
1761,1.033,,,,,,,,,,,
1762,1.042,,,,,,,,,,,
1763,0.985,,,,,,,,,,,
1764,0.992,,,,,,,,,,,
1765,0.975,,,,,,,,,,,
1766,0.997,,,,,,,,,,,
1767,1.002,,,,,,,,,,,
1768,1.017,,,,,,,,,,,
1769,0.965,,,,,,,,,,,
1770,1.003,,,,,,,,,,,
1771,0.982,,,,,,,,,,,
1772,1.019,,,,,,,,,,,
1773,1.031,,,,,,,,,,,
1774,1.049,,,,,,,,,,,
1775,0.976,,,,,,,,,,,
1776,1.035,,,,,,,,,,,
1777,0.978,,,,,,,,,,,
1778,1.032,,,,,,,,,,,
1779,0.929,,,,,,,,,,,
1780,1.036,,,,,,,,,,,
1781,0.987,,,,,,,,,,,
1782,0.959,,,,,,,,,,,
1783,1.028,,,,,,,,,,,
1784,1.025,,,,,,,,,,,
1785,1.01,,,,,,,,,,,
1786,1.039,,,,,,,,,,,
1787,0.889,,,,,,,,,,,
1788,1.032,,,,,,,,,,,
1789,0.98,,,,,,,,,,,
1790,1.024,,,,,,,,,,,
1791,0.986,,,,,,,,,,,
1792,1.002,,,,,,,,,,,
1793,1.027,,,,,,,,,,,
1794,1.04,,,,,,,,,,,
1795,1.008,,,,,,,,,,,
1796,0.965,,,,,,,,,,,
1797,0.924,,,,,,,,,,,
1798,0.992,,,,,,,,,,,
1799,0.986,,,,,,,,,,,
1800,1.047,,,,,,,,,,,
1801,0.962,,,,,,,,,,,
1802,1.039,,,,,,,,,,,
1803,0.989,,,,,,,,,,,
1804,1.033,,,,,,,,,,,
1805,1.01,,,,,,,,,,,
1806,0.979,,,,,,,,,,,
1807,0.99,,,,,,,,,,,
1808,1.023,,,,,,,,,,,
1809,0.948,,,,,,,,,,,
1810,0.954,,,,,,,,,,,
1811,0.971,,,,,,,,,,,
1812,1.01,,,,,,,,,,,
1813,0.959,,,,,,,,,,,
1814,1.014,,,,,,,,,,,
1815,0.975,,,,,,,,,,,
1816,1.023,,,,,,,,,,,
1817,0.999,,,,,,,,,,,
1818,0.995,,,,,,,,,,,
1819,1.025,,,,,,,,,,,
1820,1.007,,,,,,,,,,,
1821,1.03,,,,,,,,,,,
1822,0.989,,,,,,,,,,,
1823,1.054,,,,,,,,,,,
1824,1.003,,,,,,,,,,,
1825,1.022,,,,,,,,,,,
1826,1.002,,,,,,,,,,,
1827,1.055,,,,,,,,,,,
1828,0.964,,,,,,,,,,,
1829,1.029,,,,,,,,,,,
1830,1.015,,,,,,,,,,,
1831,1.013,,,,,,,,,,,
1832,1.002,,,,,,,,,,,
1833,1.016,,,,,,,,,,,
1834,0.998,,,,,,,,,,,
1835,0.912,,,,,,,,,,,
1836,1.038,,,,,,,,,,,
1837,0.955,,,,,,,,,,,
1838,0.914,,,,,,,,,,,
1839,0.986,,,,,,,,,,,
1840,1.003,,,,,,,,,,,
1841,0.999,,,,,,,,,,,
1842,1.014,,,,,,,,,,,
1843,1,,,,,,,,,,,
1844,0.92,,,,,,,,,,,
1845,0.965,,,,,,,,,,,
1846,1.011,,,,,,,,,,,
1847,1.002,,,,,,,,,,,
1848,0.935,,,,,,,,,,,
1849,0.978,,,,,,,,,,,
1850,1.032,,,,,,,,,,,
1851,1.005,,,,,,,,,,,
1852,1.016,,,,,,,,,,,
1853,1.011,,,,,,,,,,,
1854,1.023,,,,,,,,,,,
1855,1.012,,,,,,,,,,,
1856,1.037,,,,,,,,,,,
1857,1.006,,,,,,,,,,,
1858,0.967,,,,,,,,,,,
1859,1,,,,,,,,,,,
1860,0.977,,,,,,,,,,,
1861,1.024,,,,,,,,,,,
1862,0.984,,,,,,,,,,,
1863,1.051,,,,,,,,,,,
1864,1.02,,,,,,,,,,,
1865,1.002,,,,,,,,,,,
1866,0.947,,,,,,,,,,,
1867,1.016,,,,,,,,,,,
1868,1.007,,,,,,,,,,,
1869,1.001,,,,,,,,,,,
1870,1.045,,,,,,,,,,,
1871,1.053,,,,,,,,,,,
1872,1.011,,,,,,,,,,,
1873,1.028,,,,,,,,,,,
1874,1.024,,,,,,,,,,,
1875,0.928,,,,,,,,,,,
1876,1.001,,,,,,,,,,,
1877,0.996,,,,,,,,,,,
1878,1.009,,,,,,,,,,,
1879,0.987,,,,,,,,,,,
1880,0.987,,,,,,,,,,,
1881,1.036,,,,,,,,,,,
1882,1.026,,,,,,,,,,,
1883,0.977,,,,,,,,,,,
1884,0.995,,,,,,,,,,,
1885,1.014,,,,,,,,,,,
1886,0.991,,,,,,,,,,,
1887,1.001,,,,,,,,,,,
1888,1.018,,,,,,,,,,,
1889,1.011,,,,,,,,,,,
1890,1.036,,,,,,,,,,,
1891,1.009,,,,,,,,,,,
1892,0.978,,,,,,,,,,,
1893,1.004,,,,,,,,,,,
1894,1.034,,,,,,,,,,,
1895,1.006,9.772000313,2.207999945,-4.43200016,17.33699989,17.37800026,-1.81,6.540250361,120.2869988,-1.44,-0.55550009,13.63700008
1896,0.991,10.00600052,3.085999966,-4.78000021,16.92700005,24.89500046,-2.14,7.182500351,119.1539993,-2.283333333,0.53749989,13.8287499
1897,1.023,11.98800087,5.359000206,-0.791000009,18.61800003,9.902999878,-2.52,8.592500448,174.0950012,-2.486666667,1.840750039,15.34474993
1898,1.03,10.66400051,2.862999916,-3.604000092,18.4659996,15.47700024,-1.55,6.740250349,174.1349973,-1.456666667,0.169499993,13.31174982
1899,0.927,8.101000786,0.085000001,-5.079999924,16.11800003,33.66400146,-2.27,6.294750504,131.4970016,-2.146666667,-0.594249988,13.18499994
1900,1.054,8.855999947,0.653999984,-3.46600008,17.05999947,18.68300056,-4.82,7.980250239,46.16300106,-4.956666667,-0.138750032,16.10074997
1901,0.994,11.27500057,4.346000195,-1.246999979,18.20400047,24.11700058,-2.32,8.383500338,139.9420013,-2.066666667,1.346500039,15.4212501
1902,1.006,7.925000191,-0.615999997,-3.095999956,16.46699905,13.84899998,-3.38,6.073250234,121.7469988,-3.103333333,-1.663750008,13.81124973
1903,0.986,8.657000542,0.388000011,-6.21600008,16.9260006,16.3239994,-1.94,5.88250035,142.277998,-1.946666667,-1.55950002,13.32525015
1904,0.969,8.782999992,0.442000002,-5.274000168,17.12400055,34.37400055,-2.33,5.958000183,120.8530006,-1.813333333,-1.949750025,13.86575031
1905,0.946,10.24400043,2.686000109,-5.962999821,17.8029995,26.24900055,-0.62,5.657500304,176.6389999,-0.793333333,-1.337499917,12.65249991
1906,0.926,8.30600071,0.079000004,-4.086999893,16.53300095,63.7159996,0.7,6.171500444,164.3279991,1.08,-1.19624996,13.54025006
1907,0.91,8.098000526,-0.159999996,-7.085000038,16.3579998,51.98799896,1.94,5.164250337,206.237999,2.34,-2.060000014,12.38924992
1908,0.928,7.980000496,0.851999998,-5.085000038,15.10900021,45.20600128,2.98,6.053000391,184.1940003,2.83,-0.577000082,12.68375015
1909,0.997,10.00800037,1.032999992,-5.975999832,18.98399925,29.76199913,1.24,6.57300023,152.7840023,1.01,-1.091749959,14.23849976
1910,1.009,6.920000553,-3.092999935,-5.645999908,16.93400002,16.9090004,-1.71,6.568750203,80.91900063,-2.276666667,-2.436249971,15.57424998
1911,0.961,6.459000111,-2.529000044,-5.376999855,15.44799995,22.07999992,0.82,5.920250177,138.0939999,0.103333333,-1.833249973,13.67449999
1912,0.966,6.934000492,-1.052000046,-5.985000134,14.92099953,44.21300125,3.44,5.292750269,161.8610039,2.423333333,-2.181000032,12.76750004
1913,0.982,8.900000572,-0.169,-5.197999954,17.96999931,21.11199951,2.44,6.307750344,210.0440063,2.196666667,-1.869999983,14.48649979
1914,0.979,8.86700058,-0.578000009,-6.151000023,18.31299973,8.444999695,0.24,6.865250409,132.3500004,-0.653333333,-1.627749965,15.35925007
1915,0.972,9.159000397,0.477999985,-6.097000122,17.8409996,62.70100021,3.91,4.962000191,258.7880058,3.946666667,-3.116749987,13.04174972
1916,0.989,8.417000771,-1.243999958,-4.711999893,18.07999992,30.79800034,2.53,6.294000566,149.8300018,2.376666667,-1.539249957,14.12825012
1917,0.989,8.622000694,0.314999998,-5.943999767,16.92900085,14.19799995,-1.31,6.208250344,81.15100002,-1.203333333,-1.349249914,13.76575005
1918,0.99,8.633000374,1.184999943,-5.803999901,16.08200073,23.0340004,0.3,6.947250143,136.1429978,-0.506666667,-0.181249976,14.07675028
1919,1.053,10.76400089,2.832000017,-4.40199995,18.6970005,11.31799984,-4.34,8.796500623,44.07999992,-5.29,0.178000018,17.41649985
1920,0.997,9.646000862,1.610000014,-5.34800005,17.68300056,42.65499878,-0.89,6.35275048,159.0039978,-0.94,-1.508250013,14.21450019
1921,0.992,8.897000313,0.103,-5.447000027,17.69199944,26.83600044,-2.27,6.45050016,137.3710003,-1.71,-1.174500011,14.07649982
1922,0.997,11.67300034,2.937000036,-2.453000069,20.4090004,43.42900085,-0.31,7.79850018,180.7519989,0.546666667,0.488749992,15.10924983
1923,0.949,8.199000359,1.537999988,-4.576000214,14.86100006,44.67399979,3.23,7.209500432,218.293003,2.45,0.743249968,13.67724967
1924,1.004,8.460000038,0.07,-5.65899992,16.85099983,19.37299919,1.05,6.108250201,131.4800015,-0.423333333,-1.440749986,13.65824986
1925,1.014,8.98900032,1.36500001,-3.714999914,16.61400032,38.50799942,2.25,7.473500431,154.1000023,2.11,0.152000047,14.79649997
1926,1.006,10.14800072,4.138000011,-1.475000024,16.15800095,68.3030014,-0.55,8.040500522,171.5699997,-0.09,1.413249984,14.66850019
