year,chron,tmean.july,tmin.july,tmax.july,ppt.july,pdsi.aug,tmean.jjas,tmin.jjas,tmax.jjas,ppt.jja,pdsi.mjja
1812,0.676,,,,,,,,,,
1813,0.571,,,,,,,,,,
1814,0.5,,,,,,,,,,
1815,0.526,,,,,,,,,,
1816,0.505,,,,,,,,,,
1817,0.525,,,,,,,,,,
1818,0.512,,,,,,,,,,
1819,0.566,,,,,,,,,,
1820,0.527,,,,,,,,,,
1821,0.604,,,,,,,,,,
1822,0.538,,,,,,,,,,
1823,0.459,,,,,,,,,,
1824,0.464,,,,,,,,,,
1825,0.446,,,,,,,,,,
1826,0.481,,,,,,,,,,
1827,0.533,,,,,,,,,,
1828,0.551,,,,,,,,,,
1829,0.519,,,,,,,,,,
1830,0.436,,,,,,,,,,
1831,0.518,,,,,,,,,,
1832,0.326,,,,,,,,,,
1833,0.596,,,,,,,,,,
1834,0.392,,,,,,,,,,
1835,0.409,,,,,,,,,,
1836,0.336,,,,,,,,,,
1837,0.412,,,,,,,,,,
1838,0.255,,,,,,,,,,
1839,0.331,,,,,,,,,,
1840,0.369,,,,,,,,,,
1841,0.372,,,,,,,,,,
1842,0.268,,,,,,,,,,
1843,0.26,,,,,,,,,,
1844,0.226,,,,,,,,,,
1845,0.22,,,,,,,,,,
1846,0.248,,,,,,,,,,
1847,0.316,,,,,,,,,,
1848,0.44,,,,,,,,,,
1849,0.429,,,,,,,,,,
1850,0.32,,,,,,,,,,
1851,0.407,,,,,,,,,,
1852,0.49,,,,,,,,,,
1853,0.414,,,,,,,,,,
1854,0.477,,,,,,,,,,
1855,0.463,,,,,,,,,,
1856,0.493,,,,,,,,,,
1857,0.58,,,,,,,,,,
1858,0.513,,,,,,,,,,
1859,0.552,,,,,,,,,,
1860,0.474,,,,,,,,,,
1861,0.542,,,,,,,,,,
1862,0.441,,,,,,,,,,
1863,0.595,,,,,,,,,,
1864,0.468,,,,,,,,,,
1865,0.511,,,,,,,,,,
1866,0.517,,,,,,,,,,
1867,0.513,,,,,,,,,,
1868,0.558,,,,,,,,,,
1869,0.45,,,,,,,,,,
1870,0.537,,,,,,,,,,
1871,0.607,,,,,,,,,,
