year,chron,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct,tmean.mjja,ppt. jja,pdsi.aso,tmin.mjja,tmax.mjja
1774,1.039,,,,,,,,,,,
1775,0.975,,,,,,,,,,,
1776,1.014,,,,,,,,,,,
1777,0.977,,,,,,,,,,,
1778,1.002,,,,,,,,,,,
1779,0.894,,,,,,,,,,,
1780,0.979,,,,,,,,,,,
1781,0.94,,,,,,,,,,,
1782,0.895,,,,,,,,,,,
1783,0.936,,,,,,,,,,,
1784,0.955,,,,,,,,,,,
1785,1.004,,,,,,,,,,,
1786,1.018,,,,,,,,,,,
1787,0.94,,,,,,,,,,,
1788,1.013,,,,,,,,,,,
1789,0.975,,,,,,,,,,,
1790,0.997,,,,,,,,,,,
1791,0.942,,,,,,,,,,,
1792,1.018,,,,,,,,,,,
1793,1.009,,,,,,,,,,,
1794,1.078,,,,,,,,,,,
1795,1.094,,,,,,,,,,,
1796,1.012,,,,,,,,,,,
1797,0.987,,,,,,,,,,,
1798,1.042,,,,,,,,,,,
1799,1.038,,,,,,,,,,,
1800,1.032,,,,,,,,,,,
1801,1.013,,,,,,,,,,,
1802,1.03,,,,,,,,,,,
1803,1.004,,,,,,,,,,,
1804,1.046,,,,,,,,,,,
1805,1.004,,,,,,,,,,,
1806,0.999,,,,,,,,,,,
1807,1.028,,,,,,,,,,,
1808,1.104,,,,,,,,,,,
1809,0.974,,,,,,,,,,,
1810,1.001,,,,,,,,,,,
1811,1.001,,,,,,,,,,,
1812,0.998,,,,,,,,,,,
1813,0.953,,,,,,,,,,,
1814,0.981,,,,,,,,,,,
1815,0.952,,,,,,,,,,,
1816,1.005,,,,,,,,,,,
1817,0.998,,,,,,,,,,,
1818,0.979,,,,,,,,,,,
1819,0.985,,,,,,,,,,,
1820,0.929,,,,,,,,,,,
1821,0.992,,,,,,,,,,,
1822,0.962,,,,,,,,,,,
1823,1.009,,,,,,,,,,,
1824,1.011,,,,,,,,,,,
1825,1.029,,,,,,,,,,,
1826,0.994,,,,,,,,,,,
1827,0.982,,,,,,,,,,,
1828,0.972,,,,,,,,,,,
1829,1.028,,,,,,,,,,,
1830,1.029,,,,,,,,,,,
1831,1.087,,,,,,,,,,,
1832,0.982,,,,,,,,,,,
1833,1.038,,,,,,,,,,,
1834,1.022,,,,,,,,,,,
1835,0.931,,,,,,,,,,,
1836,0.969,,,,,,,,,,,
1837,0.976,,,,,,,,,,,
1838,0.91,,,,,,,,,,,
1839,0.963,,,,,,,,,,,
1840,0.946,,,,,,,,,,,
1841,0.931,,,,,,,,,,,
1842,0.949,,,,,,,,,,,
1843,0.961,,,,,,,,,,,
1844,0.935,,,,,,,,,,,
1845,0.962,,,,,,,,,,,
1846,0.994,,,,,,,,,,,
1847,0.968,,,,,,,,,,,
1848,0.953,,,,,,,,,,,
1849,0.939,,,,,,,,,,,
1850,1.035,,,,,,,,,,,
1851,0.959,,,,,,,,,,,
1852,1.027,,,,,,,,,,,
1853,1.008,,,,,,,,,,,
1854,1.06,,,,,,,,,,,
1855,1.043,,,,,,,,,,,
1856,1.124,,,,,,,,,,,
1857,1.04,,,,,,,,,,,
1858,1.013,,,,,,,,,,,
1859,1.002,,,,,,,,,,,
1860,0.961,,,,,,,,,,,
1861,1.02,,,,,,,,,,,
